"","Row Labels","Count of PARK_NAME","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","BURGLARY","MANSLAUGHTER, NEGLIGENT","RAPE, ATTEMPTED","RAPE, FORCIBLE","ROBBERY","THEFT FROM MOTOR VEHICLE - ATTEMPT","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","THEFT FROM PERSON - ATTEMPT","THEFT, PERSON","Grand Total","Total population","Median Income","Pools","Gym","Restroom"
"274",6037261200,9,3,11,0,0,0,1,0,1,2,0,0,18,4140,"156250",0,0,0
"275",6037262100,3,0,2,0,0,0,0,0,1,2,0,0,5,2959,"168409",0,0,0
"276",6037262200,3,2,3,0,0,0,0,0,0,3,0,0,8,4856,"193877",0,0,0
"277",6037262301,1,0,0,0,0,0,0,0,0,1,0,0,1,3048,"212083",0,0,0
"278",6037262302,2,0,9,0,0,1,0,0,2,4,0,0,16,3040,"155559",0,0,0
"279",6037262400,6,0,3,0,0,0,0,0,0,1,0,0,4,2949,"250000",0,0,0
"280",6037262501,7,1,13,0,0,0,2,0,4,6,0,0,26,4122,"168472",0,0,2
"281",6037262601,1,0,2,0,0,0,0,0,0,4,0,0,6,3497,"191625",0,0,1
"282",6037262604,2,0,4,0,0,1,2,0,2,7,0,0,16,6477,"165987",0,0,0
"283",6037262704,6,2,23,0,0,0,4,0,7,7,0,0,43,3427,"100461",0,0,0
"284",6037262706,3,2,24,0,0,1,0,0,5,9,0,0,41,3730,"183646",0,2,1
"285",6037265420,2,4,49,0,0,5,1,0,6,14,0,1,80,1960,"166500",0,0,0
"286",6037265602,1,3,17,0,1,5,9,1,13,13,0,1,63,2904,"109049",0,0,0
"287",6037265700,2,1,12,0,0,1,0,0,4,11,0,0,29,5380,"86250",0,0,2
"288",6037267700,2,10,26,0,0,1,13,0,13,26,0,1,90,3314,"80826",1,1,1
"289",6037269300,2,2,22,0,0,0,1,2,11,15,0,0,53,4170,"154114",1,2,0
"290",6037269602,1,2,14,0,0,0,1,0,5,10,0,1,33,2785,"53210",0,1,0
"291",6037269800,2,0,10,0,0,0,0,0,3,1,0,0,14,3263,"54238",0,0,1
"292",6037270200,1,8,71,0,0,1,24,0,4,14,0,2,124,3576,"52708",0,0,1
"293",6037270300,4,27,72,0,0,7,22,0,12,25,0,5,170,2542,"68859",1,1,0
"294",6037271702,1,7,25,0,0,1,10,0,4,16,0,2,65,4390,"56531",0,0,0
"295",6037271802,1,7,31,0,0,2,16,3,20,42,0,3,124,5997,"60610",0,0,0
"296",6037271902,2,1,7,0,0,0,1,0,5,6,0,0,20,4265,"69638",1,2,1
"297",6037273600,1,11,8,0,0,2,3,0,0,8,0,1,33,2334,"119464",0,0,0
"298",6037273902,12,57,78,0,0,6,39,1,17,26,0,6,230,3839,"98264",0,0,6
"299",6037274100,1,6,35,0,0,2,13,0,7,12,1,3,79,4244,"106090",0,0,0
"300",6037275302,1,2,11,0,0,0,3,0,2,5,0,0,23,4990,"83750",0,0,0
"301",6037275400,2,20,35,0,0,2,9,1,13,19,0,1,100,3591,"116542",1,0,1
"302",6037275602,1,5,19,0,0,0,6,0,4,3,0,0,37,8905,"106587",0,0,0
"303",6037275603,1,33,52,0,1,1,6,0,2,11,0,1,107,2793,"71685",0,0,1
"304",6037276601,1,1,3,0,0,0,0,0,0,2,0,0,6,4119,"106389",0,0,0
"305",6037276603,1,0,10,0,0,0,1,0,3,9,0,0,23,5238,"73256",0,0,0
"306",6037276604,1,11,40,0,0,1,13,0,9,33,0,1,108,4106,"63060",1,2,0
"307",6037277200,1,8,30,0,0,2,11,0,16,19,0,1,87,2437,"59813",0,0,0
"308",6037278001,1,4,28,0,0,1,16,0,11,22,0,1,83,2567,"78426",0,0,0
"309",6037278102,6,3,28,0,0,4,4,1,4,10,0,0,54,3134,"129914",0,0,1
"310",6037292000,1,9,21,0,1,0,9,1,5,12,0,1,59,6563,"39219",0,0,0
"311",6037293306,1,0,0,0,0,0,0,0,0,0,0,0,0,2414,"81959",0,0,0
"312",6037294421,1,28,28,0,0,4,15,1,6,25,1,1,109,3048,"46350",1,0,7
"313",6037294510,1,9,25,0,0,0,7,0,2,8,0,1,52,5023,"47426",0,0,0
